Code,Libellé,Nb de naissances domiciliées 2020,Produit intérieur brut 2018,Taux de chômage annuel moyen 2020,Nb de décès domiciliés 2020
1,Guadeloupe,4678,9390,17.4,3742
2,Martinique,3529,8819,12.4,3586
3,Guyane,7992,4164,16.1,990
4,La Réunion,13142,19163,17.3,5154
6,Mayotte,9184,2449,,967
11,Île-de-France,168467,726164,7.3,90566
24,Centre-Val de Loire,25337,74286,7.4,28612
27,Bourgogne-Franche-Comté,25660,78367,6.9,33660
28,Normandie,32760,95064,7.9,36425
32,Hauts-de-France,65496,166519,9.6,61568
44,Grand Est,53129,160929,7.7,60673
52,Pays de la Loire,38974,117585,7,36806
53,Bretagne,30993,98893,6.7,35735
75,Nouvelle-Aquitaine,53196,176801,7.4,66917
76,Occitanie,57275,173563,9.3,62481
84,Auvergne-Rhône-Alpes,86473,272646,7,80364
93,Provence-Alpes-Côte d'Azur,54885,166443,9.1,55613
94,Corse,2687,9443,8,3398
